ups,account_created_utc,link_karma,comment_karma,num_comments,image_provided,reciprocate,exchange,text_length,money,time,job,student,family,craving,label
5,1302133025.0,1,38,9,0,0,0,126,3,3,0,1,2,2,got_pizza
2,1378327446.0,29,879,7,1,0,0,66,0,0,2,0,0,0,got_pizza
1,1349761700.0,12012,20768,0,0,0,0,36,1,1,1,0,0,0,got_pizza
1,1360916964.0,12683,17069,0,0,0,1,101,0,1,0,1,0,0,got_pizza
5,1375325196.0,4526,2905,3,0,0,0,139,1,0,1,0,3,0,got_pizza
0,1327879840.0,10,97,2,0,1,0,68,0,1,0,0,0,0,got_pizza
4,1330734297.0,114,11149,0,1,0,0,110,0,1,0,0,1,0,got_pizza
2,1374001062.0,111,4204,2,0,0,0,98,1,1,0,0,2,0,got_pizza
3,1343088462.0,1,108,2,0,0,0,23,0,0,0,0,0,0,got_pizza
1,1320723443.0,243,182,0,0,0,0,602,5,10,7,10,1,0,got_pizza
1,1311925571.0,1,79,2,0,0,0,60,0,0,0,0,0,0,got_pizza
1,1372566414.0,464,1150,0,0,0,0,40,0,0,0,0,0,0,got_pizza
4,1414027118.0,27,553,7,0,0,1,52,0,1,0,0,0,0,got_pizza
2,1327818043.0,5732,1632,2,0,0,0,21,0,0,0,0,0,0,got_pizza
2,1398043080.0,744,712,1,0,0,0,12,0,1,0,0,0,0,got_pizza
43,1357711096.0,21,450,10,0,0,0,82,1,8,0,1,0,1,got_pizza
2,1322302177.0,443,7588,8,0,0,0,94,6,1,0,0,0,0,got_pizza
17,1326943235.0,4222,2185,4,0,0,0,113,2,1,0,0,0,0,got_pizza
0,1374644617.0,1884,565,2,0,1,0,35,0,0,0,0,0,0,got_pizza
7,1346788852.0,1263,334,1,0,0,0,11,1,1,0,0,0,0,got_pizza
0,1343972313.0,488,39881,0,0,0,0,112,0,3,0,0,0,0,got_pizza
4,1325839624.0,75,144,1,0,0,0,75,0,1,1,0,0,0,got_pizza
45,1363626239.0,8,60,9,1,0,1,162,2,6,2,3,0,0,got_pizza
7,1299134368.0,2576,44279,3,0,0,0,340,7,5,5,0,2,0,got_pizza
5,1352728987.0,1,267,6,0,0,0,21,0,0,0,0,0,0,got_pizza
3,1335063991.0,1,222,2,0,0,1,104,4,2,0,1,0,0,got_pizza
6,1362728875.0,100,354,2,0,0,0,25,0,1,0,0,0,0,got_pizza
8,1351895777.0,9,3603,2,0,1,0,69,1,2,0,0,1,0,got_pizza
1,1313523703.0,2013,488,1,0,0,0,31,2,2,0,0,0,0,got_pizza
1,1359416647.0,2277,288,5,1,0,0,35,0,4,0,0,0,0,got_pizza
21,1328218358.0,28,822,4,0,0,0,53,1,3,1,0,2,0,got_pizza
13,1343325848.0,2612,5666,21,0,0,0,40,1,0,0,0,0,0,got_pizza
4,1397833139.0,1,283,2,0,0,1,28,0,0,0,0,0,0,got_pizza
0,1412976661.0,7,204,2,0,0,0,39,2,1,1,0,0,0,got_pizza
8,1373139419.0,5798,856,6,0,0,0,86,0,5,1,0,1,0,got_pizza
5,1262055308.0,9,1718,0,0,0,0,109,4,4,1,3,1,0,got_pizza
2,1371040646.0,1,540,1,0,0,0,62,2,3,0,0,1,0,got_pizza
3,1412296834.0,1,885,5,0,0,0,31,0,1,0,0,0,0,got_pizza
26,1311941731.0,7447,39630,4,0,1,0,158,4,5,0,0,1,2,got_pizza
25,1361302892.0,29,2679,5,0,0,0,33,0,0,0,0,0,0,got_pizza
9,1333922196.0,3617,3175,0,0,0,0,14,0,0,0,0,0,0,got_pizza
1,1316661214.0,4076,756,2,0,0,0,69,4,2,0,0,0,0,got_pizza
20,1337810791.0,1599,1713,2,0,0,0,35,1,3,0,0,0,0,got_pizza
5,1320083523.0,694,313,2,0,1,0,82,2,3,0,0,0,1,got_pizza
4,1358457528.0,4351,1869,7,0,0,0,133,0,0,1,0,0,0,got_pizza
5,1294973856.0,516,10433,9,0,0,0,107,1,1,0,1,0,0,got_pizza
7,1305943275.0,7674,11019,4,0,0,0,78,3,5,0,0,0,0,got_pizza
1,1313709172.0,5168,5073,7,0,1,0,106,2,1,0,4,0,0,got_pizza
2,1318574178.0,802,7131,4,0,0,0,196,0,6,1,0,3,0,got_pizza
3,1404346206.0,1,86,3,0,0,0,126,0,2,0,0,3,0,got_pizza
4,1319874765.0,1,1476,7,0,0,0,50,1,3,0,0,0,0,got_pizza
