account_age,account_created_utc,link_karma,comment_karma,ups,num_comments,image_provided,reciprocate,exchange,text_length,label
47178046.0,1383615743.0,118,3240,7,0,0,0,0,75,no_pizza
103681284.0,1327105345.0,741,663,7,2,1,0,0,65,no_pizza
107346021.0,1323439263.0,1589,4250,9,0,0,0,0,161,no_pizza
87154676.0,1343626812.0,82,661,6,0,0,0,0,20,no_pizza
54237065.0,1376538675.0,249,3830,1,0,0,0,0,23,no_pizza
69858397.0,1360916964.0,12683,17069,2,0,0,1,0,132,no_pizza
23403646.0,1407369627.0,1058,4270,2,0,0,0,0,182,no_pizza
67377048.0,1363388549.0,5238,4642,4,0,0,0,0,179,no_pizza
13103052.0,1417662000.0,1,95,7,0,0,0,0,35,no_pizza
103932938.0,1326830091.0,93726,17207,42,2,0,0,0,189,no_pizza
82672237.0,1348088763.0,20,410,3,2,0,1,0,61,no_pizza
139286797.0,1291471497.0,248,3964,5,0,0,0,0,22,no_pizza
61410124.0,1369342779.0,106,898,2,0,0,0,0,83,no_pizza
82321736.0,1348402872.0,237,2272,9,0,0,0,0,63,no_pizza
171846388.0,1258861570.0,5523,8481,3,0,1,0,0,50,no_pizza
32009042.0,1398694532.0,1998,1908,12,0,0,0,0,41,no_pizza
81299888.0,1349402698.0,24,18198,7,0,0,0,0,77,no_pizza
59537354.0,1371163629.0,459,47,6,0,0,0,0,48,no_pizza
87414737.0,1343283536.0,275,1242,16,21,0,0,0,60,no_pizza
90350204.0,1340337886.0,3951,3270,2,2,1,1,0,199,no_pizza
36603831.0,1394081477.0,2132,8071,0,1,0,0,0,68,no_pizza
40835594.0,1389847145.0,3699,3297,6,1,0,0,0,42,no_pizza
103832554.0,1326847310.0,133,145,5,0,0,0,0,13,no_pizza
42308114.0,1388371110.0,67,300,8,4,0,0,0,40,no_pizza
110651897.0,1320023587.0,271,25,5,3,0,0,0,65,no_pizza
98620175.0,1332041820.0,202,3728,1,0,0,0,0,96,no_pizza
24807565.0,1405816401.0,61,435,4,4,0,0,0,55,no_pizza
140682195.0,1289928545.0,2582,408,5,0,0,0,0,70,no_pizza
59257347.0,1371350215.0,1887,6246,2,0,0,1,0,58,no_pizza
61660497.0,1368936591.0,9,1045,0,0,0,0,0,41,no_pizza
65956839.0,1364639981.0,1695,8992,1,0,0,0,0,46,no_pizza
77798679.0,1352772367.0,3156,4678,20,0,0,0,0,29,no_pizza
42407272.0,1388126746.0,1,59,6,3,1,0,0,377,no_pizza
